trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.8938215656067205}",30,22,-7.626737893127281,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.8924722770262568}",25,0,-89.82992886354262,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.891114956201324}",30,0,-219.43128216491024,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 4}",0
158,False,"{'a': 0.5, 'e': 0.8897496153478003}",25,0,-115.1951452723543,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.8883762667537444}",20,0,-135.06096456786545,"{0: 8, 1: 1, 2: 8, 3: 3, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,0,-149.8773600233127,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.8856055958565062}",20,0,-70.96061740349631,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.8842082984893433}",25,0,-77.2585976151705,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.8828030432534625}",25,0,-88.22617642436683,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.8813898427961513}",30,6,-108.9406990549118,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.8799687098362042}",20,0,-100.46815573292788,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.8785396571638084}",30,14,-35.14279776630417,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.8771026976404284}",25,0,-106.25841669116727,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.87565784419869}",25,1,-33.68279556141833,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.8742051098422645}",20,6,-75.12231707311882,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.8727445076457513}",35,12,-57.935113923287034,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.8712760507545603}",20,0,-155.30651373112508,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.8697997523847936}",25,0,-168.5713660978553,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.8683156258231266}",25,0,-159.2348924321944,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.8668236844266883}",30,0,-82.9203095633609,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.8653239416229412}",30,0,-141.08053319258462,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.8638164109095605}",20,0,-102.51833191130812,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.8623011058543124}",25,0,-113.88670865368195,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.8607780400949321}",30,0,-170.8309163701955,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
179,False,"{'a': 0.5, 'e': 0.8592472273390012}",20,0,-41.190024001197415,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.8577086813638242}",25,1,-86.28896702718043,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.8561624160163044}",25,0,-77.36627972384044,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.8546084452128195}",20,0,-70.14529408072995,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.8530467829390963}",20,0,-44.086987032825796,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.8514774432500848}",20,6,8.417498437896295,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.8499004402698315}",20,0,-57.61161375725058,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
186,False,"{'a': 0.5, 'e': 0.8483157881913526}",25,12,-50.02454927927407,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.846723501276506}",20,0,-150.9052520016853,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
188,False,"{'a': 0.5, 'e': 0.8451235938558634}",25,0,-0.27856569067629056,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.8435160803285806}",20,0,-104.79947897885853,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,0,-62.131251100619096,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
191,False,"{'a': 0.5, 'e': 0.8402782928928632}",25,0,-216.99160332404315,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
192,False,"{'a': 0.5, 'e': 0.8386480481244933}",30,0,-169.57850571923282,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
193,False,"{'a': 0.5, 'e': 0.8370102555293514}",20,0,-93.49626880930786,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
194,False,"{'a': 0.5, 'e': 0.8353649298475594}",25,0,-99.60527686300438,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
195,False,"{'a': 0.5, 'e': 0.8337120858870376}",20,0,-101.60156350061226,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
196,False,"{'a': 0.5, 'e': 0.8320517385233703}",20,0,-39.470258469926016,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
